Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
1,0.581632673740387,0.6554054021835327,0.7098360061645508,0.6516417264938354
2,0.6445578336715698,0.662162184715271,0.6266192197799683,0.5942044854164124
3,0.7142857313156128,0.6824324131011963,0.5759392380714417,0.5521315336227417
4,0.7278911471366882,0.7297297120094299,0.5473073720932007,0.5218526124954224
5,0.7568027377128601,0.7635135054588318,0.5170371532440186,0.5013987421989441
6,0.7874149680137634,0.7567567825317383,0.4908221960067749,0.4877031743526459
7,0.8095238208770752,0.7702702879905701,0.46266287565231323,0.4800660014152527
8,0.8061224222183228,0.7972972989082336,0.4416547119617462,0.47597262263298035
9,0.8129251599311829,0.7972972989082336,0.44148939847946167,0.47517842054367065
10,0.8095238208770752,0.7972972989082336,0.43304261565208435,0.4761534035205841
11,0.8163265585899353,0.7972972989082336,0.42541876435279846,0.4757334291934967
12,0.8010203838348389,0.7972972989082336,0.436636358499527,0.4749028980731964
13,0.7976190447807312,0.7972972989082336,0.43960726261138916,0.47335386276245117
14,0.8061224222183228,0.7972972989082336,0.4255577027797699,0.47256413102149963
15,0.8180271983146667,0.8040540814399719,0.41732215881347656,0.4720478951931
16,0.819727897644043,0.8108108043670654,0.4107925593852997,0.4719539284706116
17,0.8265306353569031,0.8175675868988037,0.4148017168045044,0.4732035994529724
18,0.8214285969734192,0.8108108043670654,0.4052562117576599,0.47351962327957153
19,0.8333333134651184,0.8108108043670654,0.4116699695587158,0.4741040766239166
20,0.8401360511779785,0.8108108043670654,0.4026603698730469,0.4739348292350769
21,0.8333333134651184,0.8108108043670654,0.38803791999816895,0.4738703668117523
22,0.8333333134651184,0.8040540814399719,0.41058021783828735,0.4756721258163452
23,0.8248299360275269,0.8040540814399719,0.38675835728645325,0.4772619307041168
24,0.8299319744110107,0.8108108043670654,0.3920457363128662,0.47794440388679504
25,0.8265306353569031,0.8175675868988037,0.3933005928993225,0.4754585027694702
26,0.8214285969734192,0.8175675868988037,0.3938044309616089,0.47486814856529236
27,0.8333333134651184,0.8108108043670654,0.38012415170669556,0.4776206612586975
28,0.8401360511779785,0.8108108043670654,0.3937855064868927,0.47738930583000183
29,0.853741466999054,0.8108108043670654,0.3653220236301422,0.4800961911678314
30,0.8367347121238708,0.8108108043670654,0.38330772519111633,0.4782266318798065
31,0.831632673740387,0.8040540814399719,0.38924717903137207,0.4764566719532013
32,0.8469387888908386,0.8108108043670654,0.36761274933815,0.4745670557022095
33,0.8384353518486023,0.8108108043670654,0.37344104051589966,0.4741228520870209
34,0.8265306353569031,0.8175675868988037,0.373272180557251,0.4765508472919464
35,0.8367347121238708,0.8108108043670654,0.388459712266922,0.47493600845336914
36,0.8384353518486023,0.8108108043670654,0.38382023572921753,0.47535276412963867
37,0.819727897644043,0.8108108043670654,0.3876984417438507,0.47573554515838623
38,0.831632673740387,0.8108108043670654,0.3775027394294739,0.4771817624568939
39,0.8265306353569031,0.8108108043670654,0.37817323207855225,0.4792870283126831
40,0.8435373902320862,0.8108108043670654,0.3542189300060272,0.48211169242858887
41,0.8554421663284302,0.8108108043670654,0.3762688636779785,0.48263463377952576
42,0.8367347121238708,0.8108108043670654,0.3693878650665283,0.4833235442638397
43,0.831632673740387,0.8108108043670654,0.3686044216156006,0.48141980171203613
44,0.8503401279449463,0.8108108043670654,0.353544145822525,0.48011255264282227
45,0.8350340127944946,0.8108108043670654,0.3533918857574463,0.47963204979896545
46,0.8486394286155701,0.8108108043670654,0.3492502272129059,0.4809758961200714
47,0.853741466999054,0.8175675868988037,0.35626572370529175,0.481823593378067
48,0.8350340127944946,0.8175675868988037,0.35349929332733154,0.4825595021247864
49,0.8350340127944946,0.8108108043670654,0.3654358983039856,0.48455408215522766
50,0.8452380895614624,0.8108108043670654,0.3496185541152954,0.4865875244140625
