Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8152173913043478,0.8035714285714286,0.8823529411764706,0.8411214953271028
Neural Network,0.842391304347826,0.8411214953271028,0.8823529411764706,0.861244019138756
